Security Name,Ticker,CUSIP,SEDOL,Currency,Shares,Price [USD],Market Value [USD],Weight (%)
Alphabet Inc.,NasdaqGS:GOOG.L,02079K305,BYVY8G0,USD,280,1339.39,375029.2,3.6992
"Altria Group, Inc.",NYSE:MO,02209S103,2692632,USD,1850,49.91,92333.5,0.9108
"Amazon.com, Inc.",NasdaqGS:AMZN,23135106,2000019,USD,215,1847.84,397285.6,3.9187
"American Electric Power Company, Inc.",NYSE:AEP,25537101,2026242,USD,700,94.51,66157,0.6526
American Tower Corporation (REIT),NYSE:AMT,03027X100,B7FBFL2,USD,350,229.82,80437,0.7934
"American Water Works Company, Inc.",NYSE:AWK,30420103,B2R3PV1,USD,500,122.85,61425,0.6059
Apple Inc.,NasdaqGS:AAPL,37833100,2046251,USD,2000,293.65,587300,5.793
AT&T Inc.,NYSE:T,00206R102,2831811,USD,4050,39.08,158274,1.5612
Ball Corporation,NYSE:BLL,58498106,2073022,USD,800,64.67,51736,0.5103
Berkshire Hathaway Inc.,NYSE:BRK.B,84670702,2073390,USD,882,226.5,199773,1.9705
"BlackRock, Inc.",NYSE:BLK,09247X101,2494504,USD,213,502.7,107075.1,1.0562
Booz Allen Hamilton Holding Corporation,NYSE:BAH,99502106,B5367T7,USD,2100,71.13,149373,1.4734
Boston Scientific Corporation,NYSE:BSX,101137107,2113434,USD,3000,45.22,135660,1.3381
"C.H. Robinson Worldwide, Inc.",NasdaqGS:CHRW,12541W209,2116228,USD,1100,78.2,86020,0.8485
"Cactus, Inc.",NYSE:WHD,127203107,BF1GM16,USD,1500,34.32,51480,0.5078
Chevron Corporation,NYSE:CVX,166764100,2838555,USD,800,120.51,96408,0.9509
Chubb Limited,NYSE:CB,H1467J104,B3BQMF6,USD,505,155.66,78608.3,0.7754
Citigroup Inc.,NYSE:C,172967424,2297907,USD,2735,79.89,218499.15,2.1552
Comcast Corporation,NasdaqGS:CMCS.A,20030N101,2044545,USD,1900,44.97,85443,0.8428
ConocoPhillips,NYSE:COP,20825C104,2685717,USD,1000,65.03,65030,0.6414
"Constellation Brands, Inc.",NYSE:STZ,21036P108,2170473,USD,500,189.75,94875,0.9358
"Corteva, Inc.",NYSE:CTVA,22052L104,BK73B42,USD,979,29.56,28939.24,0.2855
Costco Wholesale Corporation,NasdaqGS:COST,22160K105,2701271,USD,350,293.92,102872,1.0147
"Digital Realty Trust, Inc.",NYSE:DLR,253868103,B03GQS4,USD,390,119.74,46698.6,0.4606
"Dominion Energy, Inc.",NYSE:D,25746U109,2542049,USD,700,82.82,57974,0.5718
Eastman Chemical Company,NYSE:EMN,277432100,2298386,USD,350,79.26,27741,0.2736
Enterprise Products Partners L.P.,NYSE:EPD,293792107,2285388,USD,2650,28.16,74624,0.7361
Eversource Energy,NYSE:ES,30040W108,BVVN4Q8,USD,860,85.07,73160.2,0.7216
Exxon Mobil Corporation,NYSE:XOM,30231G102,2326618,USD,1000,69.78,69780,0.6883
"Facebook, Inc.",NasdaqGS:FB,30303M102,B7TL820,USD,1025,205.25,210381.25,2.0752
"General Mills, Inc.",NYSE:GIS,370334104,2367026,USD,1100,53.56,58916,0.5811
GlaxoSmithKline plc,NYSE:GSK,37733W105,2374112,USD,3000,46.99,140970,1.3905
Global Payments Inc.,NYSE:GPN,37940X102,2712013,USD,725,182.56,132356,1.3055
"Healthpeak Properties, Inc.",NYSE:PEAK,42250P103,BJBLRK3,USD,850,34.47,29299.5,0.289
Honeywell International Inc.,NYSE:HON,438516106,2020459,USD,850,177,150450,1.484
Humana Inc.,NYSE:HUM,444859102,2445063,USD,350,366.52,128282,1.2653
"Intercontinental Exchange, Inc.",NYSE:ICE,45866F104,BFSSDS9,USD,1550,92.55,143452.5,1.415
Johnson & Johnson,NYSE:JNJ,478160104,2475833,USD,1600,145.87,233392,2.3021
JPMorgan Chase & Co.,NYSE:JPM,46625H100,2190385,USD,2300,139.4,320620,3.1625
Lam Research Corporation,NasdaqGS:LRCX,512807108,2502247,USD,460,292.4,134504,1.3267
Linde plc,NYSE:LIN,G5494J103,BZ12WP8,USD,300,212.9,63870,0.63
Marathon Petroleum Corporation,NYSE:MPC,56585A102,B3K3L40,USD,920,60.25,55430,0.5467
Microsoft Corporation,NasdaqGS:MSFT,594918104,2588173,USD,3400,157.7,536180,5.2888
"Mid-America Apartment Communities, Inc.",NYSE:MAA,59522J103,2589132,USD,575,131.86,75819.5,0.7479
"Netflix, Inc.",NasdaqGS:NFLX,64110L106,2857817,USD,160,323.57,51771.2,0.5107
Newmont Corporation,NYSE:NEM,651639106,2636607,USD,800,43.45,34760,0.3429
"NextEra Energy, Inc.",NYSE:NEE,65339F101,2328915,USD,350,242.16,84756,0.836
"O'Reilly Automotive, Inc.",NasdaqGS:ORLY,67103H107,B65LWX6,USD,300,438.26,131478,1.2969
"PayPal Holdings, Inc.",NasdaqGS:PYPL,70450Y103,BYW36M8,USD,1650,108.17,178480.5,1.7605
"PepsiCo, Inc.",NasdaqGS:PEP,713448108,2681511,USD,1000,136.67,136670,1.3481
"Prologis, Inc.",NYSE:PLD,74340W103,B44WZD7,USD,700,89.14,62398,0.6155
"Quanta Services, Inc.",NYSE:PWR,7.48E+106,2150204,USD,3065,40.71,124776.15,1.2308
Ralph Lauren Corporation,NYSE:RL,751212101,B4V9661,USD,800,117.22,93776,0.925
"Regeneron Pharmaceuticals, Inc.",NasdaqGS:REGN,75886F107,2730190,USD,275,375.48,103257,1.0185
"salesforce.com, inc.",NYSE:CRM,79466L302,2310525,USD,630,162.64,102463.2,1.0107
"Sarepta Therapeutics, Inc.",NasdaqGS:SRPT,803607100,B8DPDT7,USD,725,129.04,93554,0.9228
"Synopsys, Inc.",NasdaqGS:SNPS,871607107,2867719,USD,800,139.2,111360,1.0984
Texas Instruments Incorporated,NasdaqGS:TXN,882508104,2885409,USD,700,128.29,89803,0.8858
Textron Inc.,NYSE:TXT,883203101,2885937,USD,1620,44.6,72252,0.7127
The Allstate Corporation,NYSE:ALL,20002101,2019952,USD,955,112.45,107389.75,1.0593
The Boeing Company,NYSE:BA,97023105,2108601,USD,225,325.76,73296,0.723
"The Goldman Sachs Group, Inc.",NYSE:GS,38141G104,2407966,USD,700,229.93,160951,1.5876
"The Home Depot, Inc.",NYSE:HD,437076102,2434209,USD,800,218.38,174704,1.7232
The Procter & Gamble Company,NYSE:PG,742718109,2704407,USD,750,124.9,93675,0.924
The Walt Disney Company,NYSE:DIS,254687106,2270726,USD,900,144.63,130167,1.2839
Thermo Fisher Scientific Inc.,NYSE:TMO,883556102,2886907,USD,520,324.87,168932.4,1.6663
Union Pacific Corporation,NYSE:UNP,907818108,2914734,USD,845,180.79,152767.55,1.5069
UnitedHealth Group Incorporated,NYSE:UNH,91324P102,2917766,USD,750,293.98,220485,2.1748
US Dollar,,,,USD,362262.64,1,362262.64,3.5733
Verizon Communications Inc.,NYSE:VZ,92343V104,2090571,USD,2000,61.4,122800,1.2113
Visa Inc.,NYSE:V,92826C839,B2PZN04,USD,1400,187.9,263060,2.5948
Walmart Inc.,NYSE:WMT,931142103,2936921,USD,1100,118.84,130724,1.2894
"Waste Management, Inc.",NYSE:WM,94106L109,2937667,USD,1150,113.96,131054,1.2927
"Yum! Brands, Inc.",NYSE:YUM,988498101,2098876,USD,900,100.73,90657,0.8942
"Zimmer Biomet Holdings, Inc.",NYSE:ZBH,98956P102,2783815,USD,1000,149.68,149680,1.4764
